Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,1621.191162109375,1621.5,1635.363037109375,1580.0,1599.5,23192478
2025-03-06,1633.18896484375,1633.5,1650.0,1601.0,1650.0,14528670
2025-03-07,1566.20166015625,1566.5,1641.0,1565.0,1633.0,16814434
2025-03-10,1568.701171875,1569.0,1580.5,1548.5,1572.0,10358553
2025-03-11,1575.2000732421875,1575.5,1614.0,1564.5,1572.0,7071402
2025-03-12,1583.6983642578125,1584.0,1586.0,1530.5,1572.0,7505072
2025-03-13,1590.1971435546875,1590.5,1605.5,1577.0,1587.0,5822859
2025-03-14,1656.6844482421875,1657.0,1658.1600341796875,1591.5,1592.5,8887352
2025-03-17,1636.1883544921875,1636.5,1667.0,1627.0,1665.5,8497305
2025-03-18,1654.684814453125,1655.0,1658.5,1602.0,1639.5,7565704
2025-03-19,1672.681396484375,1673.0,1708.0,1649.0,1671.5,7479293
2025-03-20,1643.18701171875,1643.5,1676.0,1605.0,1666.0,6609244
2025-03-21,1595.1961669921875,1595.5,1640.0,1595.43603515625,1631.5,16033957
2025-03-24,1583.6983642578125,1584.0,1609.0,1583.5,1605.0,4572521
2025-03-25,1569.7010498046875,1570.0,1590.5,1570.0,1585.5,12997223
2025-03-26,1575.2000732421875,1575.5,1589.0,1550.0,1564.0,6422870
2025-03-27,1584.1982421875,1584.5,1586.5,1559.0,1573.0,6668939
2025-03-28,1564.2020263671875,1564.5,1579.0,1539.5,1575.5,5084955
2025-03-31,1559.2030029296875,1559.5,1569.5,1542.5,1547.5,6490133
2025-04-01,1585.1981201171875,1585.5,1596.5,1554.0,1562.5,4890558
2025-04-02,1570.200927734375,1570.5,1588.5,1550.0,1572.0,6100680
2025-04-03,1620.19140625,1620.5,1628.0,1543.5,1543.5,21431749
2025-04-04,1517.2110595703125,1517.5,1638.5,1480.0,1626.5,11034709
2025-04-07,1497.21484375,1497.5,1554.0,1394.0,1460.0,12657129
2025-04-08,1566.20166015625,1566.5,1608.0,1499.2469482421875,1508.5,13123571
2025-04-09,1571.70068359375,1572.0,1587.0,1535.0030517578125,1560.0,13667067
2025-04-10,1621.691162109375,1622.0,1664.0,1597.5,1624.0,7530564
2025-04-11,1657.184326171875,1657.5,1664.0,1612.5,1627.5,9279473
2025-04-14,1692.6776123046875,1693.0,1702.5,1666.0,1680.0,7618104
2025-04-15,1743.16796875,1743.5,1748.5,1694.5,1695.0,10379399
2025-04-16,1741.668212890625,1742.0,1760.5,1729.0,1750.0,7850612
2025-04-17,1715.376220703125,1715.5,1725.5,1687.0,1712.5,4852422
2025-04-22,1705.376953125,1705.5,1736.8330078125,1703.5,1714.0,7183370
2025-04-23,1666.879638671875,1667.0,1719.5,1650.0,1711.0,6196958
2025-04-24,1683.87841796875,1684.0,1687.0,1653.5,1663.0,6610166
2025-04-25,1682.3785400390625,1682.5,1709.5,1673.5,1684.5,6164442
2025-04-28,1680.378662109375,1680.5,1707.5,1669.0,1699.0,4986642
2025-04-29,1729.3751220703125,1729.5,1733.0,1681.5,1686.5,6722059
2025-04-30,1734.374755859375,1734.5,1771.0,1730.0,1730.5,8720614
2025-05-01,1741.874267578125,1742.0,1742.0,1711.5,1722.0,1880906
2025-05-02,1778.87158203125,1779.0,1796.0,1742.5,1746.5,6153827
2025-05-06,1770.3721923828125,1770.5,1810.0,1752.0,1801.0,5038256
2025-05-07,1728.875244140625,1729.0,1779.5,1723.0,1766.5,5030087
2025-05-08,1745.8740234375,1746.0,1746.0,1712.760009765625,1733.5,5410805
2025-05-09,1687.878173828125,1688.0,1750.0,1668.0,1750.0,9042404
2025-05-12,1665.3797607421875,1665.5,1683.0,1621.5,1680.0,5760725
2025-05-13,1673.379150390625,1673.5,1690.0,1664.0,1669.0,3288559
2025-05-14,1700.877197265625,1701.0,1720.8199462890625,1681.0,1690.0,6685888
2025-05-15,1754.873291015625,1755.0,1755.0,1702.5,1703.5,5775297
2025-05-16,1762.372802734375,1762.5,1764.0,1747.0,1760.0,4685496
2025-05-19,1776.8717041015625,1777.0,1777.5,1732.0,1754.0,4070484
