Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,1949.205078125,1950.5,1978.5,1934.0,1934.0,1782666
2025-03-06,1931.1014404296875,1932.0,1956.5,1909.0,1920.0,1190766
2025-03-07,1918.107421875,1919.0,1933.0,1881.0,1918.0,1857517
2025-03-10,1928.6025390625,1929.5,1936.5,1891.5,1914.0,1406677
2025-03-11,1924.6044921875,1925.5,1963.5,1921.0,1944.0,1462735
2025-03-12,1879.1256103515625,1880.0,1912.5,1863.5,1890.0,1752008
2025-03-13,1888.6212158203125,1889.5,1899.0,1861.0,1864.5,1138223
2025-03-14,1907.112548828125,1908.0,1913.5,1889.5,1892.0,1231734
2025-03-17,1933.6002197265625,1934.5,1946.0,1920.0,1930.0,2116676
2025-03-18,1939.09765625,1940.0,1960.0,1930.0,1946.5,923340
2025-03-19,1928.102783203125,1929.0,1933.5,1914.5,1920.0,758957
2025-03-20,1897.1173095703125,1898.0,1924.5,1883.0,1909.5,1490389
2025-03-21,1889.1209716796875,1890.0,1913.0,1879.5,1903.0,1805884
2025-03-24,1904.61376953125,1905.5,1950.0,1905.5,1909.5,1109294
2025-03-25,1920.1065673828125,1921.0,1927.0,1890.5,1900.0,837648
2025-03-26,1930.6015625,1931.5,1949.5,1928.5,1937.0,2381806
2025-03-27,1916.608154296875,1917.5,1930.5,1904.5,1927.0,932773
2025-03-28,1894.11865234375,1895.0,1923.0,1892.0,1915.0,1261033
2025-03-31,1847.6402587890625,1848.5,1865.0,1827.5,1861.0,1218167
2025-04-01,1883.62353515625,1884.5,1893.0,1870.5,1889.5,1454101
2025-04-02,1845.64111328125,1846.5,1873.0,1835.0,1862.0,1360404
2025-04-03,1782.6705322265625,1783.5,1803.0,1751.0,1766.0,1812056
2025-04-04,1650.7318115234375,1651.5,1762.5,1618.5,1761.5,3746159
2025-04-07,1659.2279052734375,1660.0,1726.0,1559.5,1575.5,2860961
2025-04-08,1642.23583984375,1643.0,1706.5,1629.5,1677.0,1936948
2025-04-09,1608.75146484375,1609.5,1640.0,1570.0,1575.0,2401693
2025-04-10,1657.2288818359375,1658.0,1741.0,1658.0,1739.0,3368998
2025-04-11,1708.2052001953125,1709.0,1721.5,1652.5,1694.5,1230260
2025-04-14,1747.18701171875,1748.0,1756.5,1731.5,1732.0,1073715
2025-04-15,1754.1837158203125,1755.0,1774.5,1745.0,1765.0,777954
2025-04-16,1745.687744140625,1746.5,1757.5,1714.0,1726.5,1187167
2025-04-17,1750.1856689453125,1751.0,1770.5,1740.0,1740.0,872295
2025-04-22,1778.1724853515625,1779.0,1786.0,1762.5,1776.5,1391929
2025-04-23,1835.6458740234375,1836.5,1863.0,1817.5,1817.5,1207710
2025-04-24,1840.6434326171875,1841.5,1842.5,1812.5,1827.5,573202
2025-04-25,1809.158203125,1810.0,1843.0,1804.5,1825.5,658181
2025-04-28,1797.1636962890625,1798.0,1815.0,1797.0,1810.0,597510
2025-04-29,1814.1558837890625,1815.0,1846.0,1812.0,1828.5,1286120
2025-04-30,1773.1749267578125,1774.0,1821.0,1747.0,1816.5,1476126
2025-05-01,1798.6629638671875,1799.5,1840.0,1792.5,1820.5,547413
2025-05-02,1826.6500244140625,1827.5,1845.0,1815.0,1836.0,773294
2025-05-06,1821.152587890625,1822.0,1841.5,1798.0,1841.5,801806
2025-05-07,1827.1497802734375,1828.0,1843.0,1810.0,1827.0,768495
2025-05-08,1808.15869140625,1809.0,1830.0,1796.0,1820.5,2124008
2025-05-09,1826.1502685546875,1827.0,1835.0,1811.5,1820.0,562007
2025-05-12,1894.618408203125,1895.5,1943.5,1881.5,1896.0,2422875
2025-05-13,1906.113037109375,1907.0,1926.5,1894.5,1922.5,1645560
2025-05-14,1894.11865234375,1895.0,1934.0,1887.0,1925.0,1722303
2025-05-15,1891.1199951171875,1892.0,1900.0,1879.7449951171875,1890.0,618757
2025-05-16,1890.1204833984375,1891.0,1914.0,1878.5,1905.0,791782
2025-05-19,1880.625,1881.5,1885.0,1854.0,1871.0,705614
2025-05-20,1875.12744140625,1876.0,1878.0,1850.5,1862.0,2344302
2025-05-21,1856.1363525390625,1857.0,1869.0,1844.5,1869.0,672948
2025-05-22,1835.6458740234375,1836.5,1860.5,1833.5,1853.0,882095
2025-05-23,1839.144287109375,1840.0,1853.0,1815.5,1840.0,1607809
2025-05-27,1838.64453125,1839.5,1842.5,1818.5,1823.5,1614473
2025-05-28,1821.65234375,1822.5,1839.5,1820.5,1825.5,588987
2025-05-29,1823.151611328125,1824.0,1852.5,1819.0,1840.5,612407
2025-05-30,1808.658447265625,1809.5,1829.0,1806.5,1818.0,768077
2025-06-02,1810.657470703125,1811.5,1824.5,1795.0,1800.0,851101
2025-06-03,1797.6634521484375,1798.5,1800.0,1769.5,1800.0,839523
2025-06-04,1815.1553955078125,1816.0,1826.5,1799.0,1806.0,762625
2025-06-05,1845.141357421875,1846.0,1856.0,1820.5,1836.0,1873909
2025-06-06,1829.1488037109375,1830.0,1842.0,1824.5,1832.5,526334
2025-06-09,1844.6416015625,1845.5,1847.0,1825.5,1827.5,738952
2025-06-10,1867.6309814453125,1868.5,1873.5,1841.0,1841.0,619712
2025-06-11,1869.6300048828125,1870.5,1900.0,1870.0,1893.0,831282
2025-06-12,1829.1488037109375,1830.0,1848.5,1820.0,1844.0,1187824
2025-06-13,1791.1666259765625,1792.0,1809.5,1774.0,1774.0,1004539
2025-06-16,1810.657470703125,1811.5,1819.5,1791.5,1794.5,975178
2025-06-17,1783.6700439453125,1784.5,1805.5,1779.6400146484375,1797.5,1130783
2025-06-18,1778.1724853515625,1779.0,1791.0,1769.0,1789.5,1010722
2025-06-19,1732.6937255859375,1733.5,1757.5,1731.5,1747.0,976434
2025-06-20,1720.6993408203125,1721.5,1752.5,1715.0,1741.5,992538
2025-06-23,1717.200927734375,1718.0,1719.0,1686.5,1689.5,714660
2025-06-24,1729.1954345703125,1730.0,1766.0,1728.5,1755.0,2817414
2025-06-25,1707.7054443359375,1708.5,1736.5,1703.5,1730.0,834304
2025-06-26,1749.1861572265625,1750.0,1760.0,1717.5,1719.0,1385983
2025-06-27,1769.1767578125,1770.0,1787.052001953125,1757.5,1785.5,1893360
2025-06-30,1745.687744140625,1746.5,1769.0,1742.5,1758.0,779362
2025-07-01,1765.1785888671875,1766.0,1769.5,1741.0,1750.5,1178970
2025-07-02,1846.1409912109375,1847.0,1854.0,1775.5,1784.0,2790004
2025-07-03,1845.141357421875,1846.0,1885.0,1838.5,1881.0,1329844
2025-07-04,1839.64404296875,1840.5,1840.5,1829.0,1836.5,442532
2025-07-07,1826.1502685546875,1827.0,1845.5,1822.5,1839.5,570980
2025-07-08,1840.143798828125,1841.0,1845.0,1830.5,1836.5,513873
2025-07-09,1822.152099609375,1823.0,1845.0,1813.5,1820.0,1460167
2025-07-10,1914.609130859375,1915.5,1922.0,1869.219970703125,1885.0,1960066
2025-07-11,1911.1107177734375,1912.0,1917.0,1886.280029296875,1917.0,930173
