Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,376037.625,376041.0,382500.0,376041.0,380110.0,279234
2025-03-06,361142.78125,361146.0,377796.0,360842.0,377504.0,149114
2025-03-07,345408.90625,345412.0,359417.0625,340203.0,360100.0,378449
2025-03-10,332294.03125,332297.0,345000.0,331050.59375,344861.0,284182
2025-03-11,327086.0625,327089.0,334939.0,325550.0,331000.0,207647
2025-03-12,335596.0,335599.0,341971.0,327670.0,329944.0,173156
2025-03-13,337485.96875,337489.0,344349.0,333334.0,335600.0,135292
2025-03-14,341666.9375,341670.0,344400.0,334858.0,335501.0,268782
2025-03-17,338824.96875,338828.0,342858.0,336592.0,334601.0,167282
2025-03-18,335380.0,335383.0,338654.0,334610.0,335601.0,184395
2025-03-19,339196.96875,339200.0,343705.0,335856.0,337450.0,199501
2025-03-20,328997.0625,329000.0,341006.0,325379.0,336289.0,801266
2025-03-24,333079.03125,333082.0,337780.0,328993.0,329000.0,211086
2025-03-25,334922.0,334925.0,336496.0,331112.0,334999.0,158589
2025-03-26,334149.0,334152.0,335434.0,331986.0,331650.0,100580
2025-03-27,331124.03125,331127.0,335741.0,327001.0,332499.0,165182
2025-03-28,328371.0625,328374.0,330998.0,324143.0,330999.0,66619
2025-03-31,316979.15625,316982.0,325693.0,316227.0,325379.0,179901
2025-04-01,320759.125,320762.0,322500.0,317563.0,318651.0,139533
2025-04-02,327014.0625,327017.0,327144.0,319770.0,323321.0,158206
2025-04-03,316794.15625,316797.0,323601.0,314562.0,318847.0,335154
2025-04-04,297797.34375,297800.0,320751.0,292837.0,320004.0,232298
2025-04-07,300673.3125,300676.0,310455.0,275911.0,284991.0,343028
2025-04-08,307832.25,307835.0,312638.0,293919.0,301450.0,258069
2025-04-09,305590.28125,305593.0,308791.0,295615.0,300136.0,282366
2025-04-10,316246.1875,316249.0,362940.0,311853.0,330090.0,306672
2025-04-11,321908.125,321911.0,325800.0,310963.0,324047.0,79728
2025-04-14,317690.15625,317693.0,323451.0,313333.0,321911.0,105201
2025-04-15,313805.1875,313808.0,316244.0,305599.0,312570.0,240857
2025-04-16,308881.25,308884.0,313542.0,307546.0,313024.0,181651
2025-04-17,311683.21875,311686.0,316585.0,308884.0,308884.0,223574
2025-04-22,319456.15625,319459.0,320606.0,309792.0,312483.0,156627
2025-04-23,326196.09375,326199.0,330960.0,320000.0,320000.0,156674
2025-04-24,328989.0625,328992.0,329720.0,317654.0,326210.0,108987
2025-04-25,329197.0625,329200.0,335634.0,329200.0,331000.0,122024
2025-04-29,328975.0625,328978.0,334343.0,327837.0,331000.0,121890
2025-04-30,326997.0625,327000.0,331170.0,323833.0,327689.0,57725
2025-05-02,326487.09375,326490.0,329619.0,320814.0,322025.0,104855
2025-05-05,325028.09375,325031.0,326442.0,320921.0,329975.0,105353
2025-05-06,322627.125,322630.0,323321.0,317368.0,324445.0,43519
2025-05-07,318320.15625,318323.0,324576.0,317614.0,323764.0,107729
2025-05-08,318520.15625,318523.0,322586.0,314800.0,322586.0,65556
2025-05-09,319391.15625,319394.0,320925.0,313876.0,317900.0,278284
2025-05-12,335397.0,335400.0,340000.0,323666.0,320673.0,306542
2025-05-13,342842.9375,342846.0,345830.0,335342.0,336000.0,127163
2025-05-14,339111.96875,339115.0,343666.0,336817.0,344591.0,165664
2025-05-15,333408.03125,333411.0,336695.0,330426.0,333721.0,119627
2025-05-16,357448.8125,357452.0,360250.0,342207.375,351600.0,322120
2025-05-19,358525.78125,358529.0,358529.0,349429.0,356809.0,142278
2025-05-20,354639.84375,354643.0,360036.0,353785.0,358529.0,80949
2025-05-21,354023.84375,354027.0,360616.0,352270.0,358327.0,162856
2025-05-22,346971.90625,346975.0,352573.0,344882.0,352173.0,79390
2025-05-23,340426.96875,340430.0,348780.0,334752.0,346000.0,183301
2025-05-26,344478.90625,344482.0,348432.0,341500.0,341500.0,42695
2025-05-27,344929.90625,344933.0,346534.0,341164.0,340000.0,78451
2025-05-28,339516.96875,339520.0,347549.0,333647.0,347035.0,128584
2025-05-29,335860.0,335863.0,343582.0,335178.0,340973.0,57706
2025-05-30,338496.96875,338500.0,339514.0,334645.0,335863.0,246952
2025-06-02,334634.0,334637.0,338500.0,332277.0,340000.0,70926
2025-06-03,331774.03125,331777.0,334000.0,327172.0,335542.0,78733
2025-06-04,335247.0,335250.0,336571.0,330570.0,334251.0,63712
2025-06-05,328894.0625,328897.0,337495.0,327176.0,335300.0,86437
2025-06-06,327997.0625,328000.0,328540.0,323470.0,326958.0,99146
2025-06-09,329403.0625,329406.0,335492.0,326342.0,328999.0,64367
2025-06-10,331197.03125,331200.0,333253.0,325976.0,326255.0,111540
2025-06-11,333210.03125,333213.0,337435.0,330499.0,331188.0,81273
2025-06-12,337802.96875,337806.0,338928.0,329403.0,331094.0,90770
2025-06-13,329519.0625,329522.0,335558.0,328574.0,333559.0,141352
2025-06-17,331985.03125,331988.0,335799.0,330028.0,331436.0,161815
2025-06-18,332282.03125,332285.0,334527.0,328171.0,328171.0,133013
2025-06-19,326067.09375,326070.0,327746.0,322500.0,332279.0,254456
2025-06-20,324862.09375,324865.0,329851.0,324607.0,327421.0,262889
2025-06-23,326072.09375,326075.0,327299.0,323253.0,322600.0,97508
2025-06-24,329642.0625,329645.0,333592.0,326949.0,329999.0,127571
2025-06-25,326998.0625,327001.0,332369.0,326951.0,334900.0,109779
2025-06-26,325492.09375,325495.0,328858.0,321651.0,327001.0,103432
2025-06-27,332063.03125,332066.0,334074.0,326847.0,327116.0,66684
2025-06-30,333096.03125,333099.0,335530.0,330475.0,331885.0,78976
2025-07-01,332588.03125,332591.0,333695.0,328432.0,333150.0,125877
2025-07-02,335235.0,335238.0,340545.0,333511.0,333600.0,173109
2025-07-03,330537.03125,330540.0,337472.0,328540.0,336062.0,100799
2025-07-04,331683.03125,331686.0,332238.0,326662.0,330356.0,44383
2025-07-07,334522.0,334525.0,335850.0,331501.0,334155.0,51080
2025-07-08,337825.96875,337829.0,339801.0,333081.0,342000.0,57008
2025-07-09,335946.0,335949.0,342387.0,335212.0,333000.0,48677
2025-07-10,336908.0,336911.0,340754.0,335836.0,336805.0,42883
2025-07-11,334358.0,334361.0,336347.0,330160.0,335008.0,139791
2025-07-14,329277.0625,329280.0,334361.0,327358.0,334361.0,152746
2025-07-15,329236.0625,329239.0,331548.0,328014.0,329274.0,163899
2025-07-16,332177.03125,332180.0,338362.0,324000.0,331000.0,168397
2025-07-17,320997.125,321000.0,334062.0,320265.0,334272.0,191421
2025-07-18,314895.1875,314898.0,321141.0,314021.0,317500.0,158813
2025-07-21,312007.21875,312010.0,315237.0,309601.0,314005.0,132489
2025-07-22,309099.25,309102.0,311259.0,307164.0,307700.0,142383
2025-07-23,313650.1875,313653.0,315500.0,310663.5,310777.0,167022
2025-07-24,309159.25,309162.0,319112.0,309162.0,315651.0,52943
2025-07-25,309938.21875,309941.0,316585.0,307001.0,307500.0,85170
2025-07-28,308139.25,308142.0,315180.0,308100.0,310365.0,75476
2025-07-29,306613.25,306616.0,311569.0,305346.0,308993.0,50779
2025-07-30,304674.28125,304677.0,306899.0,302951.0,305069.0,72520
2025-07-31,297839.34375,297842.0,303555.0,297842.0,302500.0,180002
2025-08-01,283311.46875,283314.0,298001.0,281880.0,298000.0,291769
2025-08-04,291132.40625,291135.0,295249.0,286100.0,289218.0,295695
2025-08-05,293270.375,293273.0,295262.0,290399.0,293568.0,193756
2025-08-06,287497.4375,287500.0,294019.0,286142.0,292500.0,240802
2025-08-07,290264.40625,290267.0,292180.0,286018.0,287526.0,219349
2025-08-08,289429.40625,289432.0,290979.0,286824.0,290001.0,108522
2025-08-11,285582.4375,285585.0,293489.0,285000.0,290350.0,103034
2025-08-12,282290.46875,282293.0,287715.0,279499.0,285824.0,109773
2025-08-13,286227.4375,286230.0,287880.0,284208.0,285585.0,173563
2025-08-14,288997.40625,289000.0,289684.0,285728.0,286900.0,281785
