Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,7685.0,7685.0,7813.0,7520.0,7688.0,4362778
2025-03-06,7396.0,7396.0,7758.0,7396.0,7621.0,4006142
2025-03-07,7813.0,7813.0,7855.0,7390.0,7609.0,4163439
2025-03-10,7855.0,7855.0,7950.0,7725.0,7717.0,4284122
2025-03-11,8037.0,8037.0,8421.0,7761.0,7800.0,6569743
2025-03-12,8049.0,8049.0,8343.0,7986.0,8104.0,2667351
2025-03-13,7543.0,7543.0,8127.0,7526.0,8100.0,5691236
2025-03-14,7753.0,7753.0,7800.0,7451.0,7700.0,3253527
2025-03-17,7800.0,7800.0,7944.0,7740.0,7713.0,3708389
2025-03-18,7793.0,7793.0,8174.0,7754.0,7875.0,3200197
2025-03-19,7747.0,7747.0,7980.0,7716.0,7760.0,2674428
2025-03-20,7613.0,7613.0,7864.0,7486.0,7800.0,11986160
2025-03-24,7403.0,7403.0,7699.0,7365.0,7600.0,3119745
2025-03-25,7461.0,7461.0,7618.0,7341.0,7410.0,2076222
2025-03-26,7522.0,7522.0,7552.0,7358.0,7501.0,2167745
2025-03-27,7476.0,7476.0,7522.0,7392.0,7549.0,1342836
2025-03-28,7577.0,7577.0,7715.0,7391.0,7427.0,2256330
2025-03-31,7650.0,7650.0,7738.0,7411.0,7500.0,2740529
2025-04-01,7911.0,7911.0,8033.0,7679.0,7753.0,4479145
2025-04-02,7749.0,7749.0,7997.0,7530.0,7950.0,4586085
2025-04-03,6750.0,6750.0,7596.0,6699.0,7550.0,8648973
2025-04-04,5948.0,5948.0,6750.0,5903.0,6700.0,8992963
2025-04-07,6100.0,6100.0,6245.0,5405.0,5630.0,7691628
2025-04-08,5827.0,5827.0,6218.0,5825.0,6199.0,7156536
2025-04-09,5533.0,5533.0,5705.0,5301.0,5500.0,8272035
2025-04-10,6017.0,6017.0,6450.0,5838.0,6387.0,7087952
2025-04-11,6310.0,6310.0,6374.0,5982.0,6194.0,6239485
2025-04-14,6620.0,6620.0,6749.0,6463.0,6450.0,6573851
2025-04-15,6457.0,6457.0,6709.0,6407.0,6700.0,4867799
2025-04-16,6521.0,6521.0,6575.0,6283.0,6357.0,4068913
2025-04-17,6607.0,6607.0,6779.0,6365.0,6395.0,5399028
2025-04-22,6673.0,6673.0,6774.0,6471.0,6570.0,5368854
2025-04-23,6631.0,6631.0,6987.0,6631.0,6800.0,3210849
2025-04-24,6519.0,6519.0,6702.0,6370.0,6765.0,3136167
2025-04-25,6564.0,6564.0,6645.0,6493.0,6588.0,2632507
2025-04-29,6584.0,6584.0,6645.0,6428.0,6433.0,2158272
2025-04-30,6415.0,6415.0,6584.0,6387.0,6590.0,2892278
2025-05-02,6450.0,6450.0,6655.0,6323.0,6471.0,2236683
2025-05-05,6374.0,6374.0,6630.0,6266.0,6350.0,4218760
2025-05-06,6204.0,6204.0,6452.0,6150.0,6396.0,2051293
2025-05-07,6281.0,6281.0,6469.0,6240.0,6215.0,1988367
2025-05-08,6300.0,6300.0,6313.0,6140.0,6241.0,2041785
2025-05-09,6398.0,6398.0,6497.0,6320.0,6320.0,3264189
2025-05-12,6766.0,6766.0,6978.0,6537.0,6500.0,4389283
2025-05-13,6875.0,6875.0,7064.0,6758.0,6797.0,3590027
2025-05-14,6990.0,6990.0,7216.0,6892.0,6950.0,10752837
2025-05-15,6668.0,6668.0,6850.0,6560.0,6800.0,3558541
2025-05-16,6908.0,6908.0,6988.0,6670.0,6692.0,2231532
2025-05-19,7300.0,7300.0,7367.0,6769.0,6820.0,4173299
2025-05-20,7950.0,7950.0,8222.0,7333.0,7499.0,9344261
2025-05-21,8317.0,8317.0,8662.0,8050.0,8120.0,9205661
2025-05-22,8180.0,8180.0,8258.0,7900.0,8248.0,5891313
2025-05-23,7995.0,7995.0,8170.0,7923.0,8055.0,4651254
2025-05-26,8434.0,8434.0,8728.0,8376.0,8377.0,5733775
2025-05-27,8200.0,8200.0,8671.0,8181.0,8434.0,5821282
2025-05-28,8136.0,8136.0,8533.0,8131.0,8350.0,3932259
