Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,1482.4122314453125,1483.0,1495.0,1474.5040283203125,1487.5,7701162
2025-03-06,1499.9053955078125,1500.5,1507.5,1474.0,1482.0,10557852
2025-03-07,1533.3922119140625,1534.0,1540.0,1496.5,1506.0,8914164
2025-03-10,1557.88232421875,1558.5,1560.5,1527.5,1529.0,26729072
2025-03-11,1515.3992919921875,1516.0,1558.5,1505.5,1547.5,13728194
2025-03-12,1489.4095458984375,1490.0,1523.5,1485.0,1516.5,9995623
2025-03-13,1498.4061279296875,1499.0,1508.5,1484.5,1490.0,11176848
2025-03-14,1510.4012451171875,1511.0,1514.0,1495.5,1499.5,7108865
2025-03-17,1535.391357421875,1536.0,1537.5,1509.0,1515.0,6922581
2025-03-18,1530.89306640625,1531.5,1541.5,1528.5,1538.0,8141666
2025-03-19,1504.403564453125,1505.0,1525.4530029296875,1492.0,1518.5,10068477
2025-03-20,1510.4012451171875,1511.0,1522.5,1500.5,1503.0,13843851
2025-03-21,1508.4022216796875,1509.0,1529.5,1504.5,1514.0,20824917
2025-03-24,1484.4114990234375,1485.0,1517.0,1480.9219970703125,1517.0,7647400
2025-03-25,1485.4112548828125,1486.0,1512.5,1485.5,1487.5,9504295
2025-03-26,1474.915283203125,1475.5,1484.0,1454.31103515625,1483.0,6531939
2025-03-27,1476.9144287109375,1477.5,1482.625,1464.5,1473.0,5389968
2025-03-28,1487.91015625,1488.5,1491.5,1475.3499755859375,1478.0,5749188
2025-03-31,1461.4205322265625,1462.0,1483.0,1453.0,1479.0,9532133
2025-04-01,1468.4178466796875,1469.0,1497.5,1465.0,1496.5,8622454
2025-04-02,1432.9320068359375,1433.5,1449.5,1414.0,1440.5,7781741
2025-04-03,1464.9193115234375,1465.5,1486.5,1442.5,1442.5,12590773
2025-04-04,1416.938232421875,1417.5,1469.5,1413.0,1459.5,10584485
2025-04-07,1330.972412109375,1331.5,1381.5,1324.0,1377.5,20251028
2025-04-08,1339.96875,1340.5,1361.5,1325.0,1337.5,17967315
2025-04-09,1263.4991455078125,1264.0,1309.5,1242.5,1295.5,19854588
2025-04-10,1274.4947509765625,1275.0,1336.5,1275.0,1324.0,17010637
2025-04-11,1293.4871826171875,1294.0,1300.0,1267.779052734375,1279.5,18823224
2025-04-14,1321.97607421875,1322.5,1328.5,1294.0,1314.5,9809611
2025-04-15,1345.4666748046875,1346.0,1355.0,1326.0,1327.0,7277404
2025-04-16,1344.966796875,1345.5,1352.0,1327.0,1335.5,6578428
2025-04-17,1335.970458984375,1336.5,1338.0,1263.5,1332.0,26509202
2025-04-22,1361.4603271484375,1362.0,1363.0,1329.5,1351.0,15059103
2025-04-23,1378.4534912109375,1379.0,1389.0,1360.5,1370.0,11614773
2025-04-24,1393.4476318359375,1394.0,1396.009033203125,1373.0,1392.5,9805681
2025-04-25,1388.44970703125,1389.0,1398.0,1381.0,1394.0,7504582
2025-04-28,1408.441650390625,1409.0,1413.5989990234375,1394.0,1396.0,5335649
2025-04-29,1431.4326171875,1432.0,1435.5,1404.0,1426.5,9851339
2025-04-30,1482.9122314453125,1483.5,1505.5,1427.5,1450.5,15145047
2025-05-01,1462.4202880859375,1463.0,1479.5,1450.5,1468.5,5518378
2025-05-02,1447.926025390625,1448.5,1478.5,1447.0,1450.0,7904765
2025-05-06,1449.4254150390625,1450.0,1470.0,1439.5,1450.5,5967410
2025-05-07,1378.4534912109375,1379.0,1404.5,1373.5,1390.0,8343337
2025-05-08,1363.4595947265625,1364.0,1384.0,1356.4000244140625,1367.5,8730270
2025-05-09,1376.9542236328125,1377.5,1389.56201171875,1367.5,1379.5,6894239
2025-05-12,1398.9454345703125,1399.5,1405.5,1328.5,1340.0,10821571
2025-05-13,1357.4617919921875,1358.0,1412.0,1355.0,1408.5,8414733
2025-05-14,1359.461181640625,1360.0,1384.5,1354.56005859375,1355.0,7977140
2025-05-15,1362.120361328125,1362.5,1365.0,1337.0,1338.0,6957104
2025-05-16,1394.1114501953125,1394.5,1403.5,1380.5,1388.5,9853322
2025-05-19,1396.11083984375,1396.5,1404.0,1387.0,1395.5,11004991
2025-05-20,1415.1055908203125,1415.5,1427.0,1401.0,1405.5,7106313
2025-05-21,1429.6015625,1430.0,1435.0,1417.5,1422.5,6028115
2025-05-22,1428.1019287109375,1428.5,1445.0,1416.5,1427.0,7562460
2025-05-23,1425.1029052734375,1425.5,1448.0,1418.5,1441.0,6000623
2025-05-27,1447.596435546875,1448.0,1463.301025390625,1436.0,1436.0,7238131
2025-05-28,1446.0970458984375,1446.5,1456.5,1437.31396484375,1444.5,6234036
2025-05-29,1455.5943603515625,1456.0,1459.0,1434.0,1451.0,6679720
2025-05-30,1506.580078125,1507.0,1517.0,1459.0,1463.5,23132350
2025-06-02,1516.5772705078125,1517.0,1527.0,1506.5,1513.0,9108119
2025-06-03,1484.586181640625,1485.0,1518.5,1475.75,1512.5,9061321
2025-06-04,1493.5836181640625,1494.0,1501.0,1476.5,1483.5,5213601
2025-06-05,1511.5787353515625,1512.0,1513.0,1492.5,1500.0,6136545
2025-06-06,1512.5784912109375,1513.0,1521.5,1504.0,1509.5,7337013
2025-06-09,1508.5797119140625,1509.0,1517.074951171875,1503.5,1512.5,3847004
2025-06-10,1508.0797119140625,1508.5,1512.0,1491.5,1500.5,17136734
2025-06-11,1522.57568359375,1523.0,1528.5,1508.0,1516.0,15815612
2025-06-12,1549.068359375,1549.5,1557.0,1523.5,1525.5,7395989
2025-06-13,1511.078857421875,1511.5,1554.5,1509.0,1536.5,9549960
2025-06-16,1485.086181640625,1485.5,1507.0,1485.0,1498.5,9117271
2025-06-17,1479.5875244140625,1480.0,1485.5,1464.8599853515625,1482.5,12363192
2025-06-18,1449.0960693359375,1449.5,1470.5,1443.5,1464.5,8649492
2025-06-19,1434.6002197265625,1435.0,1443.93603515625,1424.0,1432.5,5124382
2025-06-20,1402.1092529296875,1402.5,1445.5,1400.0,1440.5,24023738
2025-06-23,1402.609130859375,1403.0,1415.5,1398.0,1401.0,10650109
2025-06-24,1409.607177734375,1410.0,1423.5,1403.3599853515625,1410.0,13353271
