Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,4899.36865234375,4904.0,4961.5,4873.0,4928.5,4612501
2025-03-06,4788.19384765625,4791.0,4894.0,4781.0,4795.0,3158676
2025-03-07,4799.6865234375,4802.5,4831.5,4735.0,4780.0,2491976
2025-03-10,4825.671875,4828.5,4890.5,4782.5,4890.5,8516628
2025-03-11,4757.2119140625,4760.0,4880.0,4748.0,4843.5,2378031
2025-03-12,4687.75244140625,4690.5,4791.72900390625,4665.0,4765.5,4006435
2025-03-13,4727.2294921875,4730.0,4736.0,4653.0,4670.0,3335524
2025-03-14,4815.177734375,4818.0,4848.5,4747.0,4763.0,1986745
2025-03-17,4887.63525390625,4890.5,4908.5,4822.0,4896.0,1704994
2025-03-18,4904.1259765625,4907.0,4937.705078125,4874.0,4898.0,2293543
2025-03-19,4903.6259765625,4906.5,4925.0,4849.5,4904.5,2496940
2025-03-20,4840.1630859375,4843.0,4922.5,4830.0,4895.5,1641041
2025-03-21,4754.21337890625,4757.0,4826.5,4736.0,4815.0,4469807
2025-03-24,4824.671875,4827.5,4902.0,4827.5,4848.5,1998274
2025-03-25,4853.15576171875,4856.0,4885.0,4785.5,4817.0,2520570
2025-03-26,4876.64208984375,4879.5,4910.0,4846.5,4898.5,1506830
2025-03-27,4810.68017578125,4813.5,4873.5,4790.0,4847.5,1742978
2025-03-28,4713.2373046875,4716.0,4845.30517578125,4710.5,4813.5,2104607
2025-03-31,4583.8134765625,4586.5,4639.5,4520.5,4639.0,3042492
2025-04-01,4651.7734375,4654.5,4683.5,4624.0,4668.5,1480222
2025-04-02,4598.8046875,4601.5,4654.5,4573.0,4618.5,1739319
2025-04-03,4490.3681640625,4493.0,4530.5,4422.5,4477.5,2678197
2025-04-04,4236.51708984375,4239.0,4466.5,4171.0,4449.5,4224848
2025-04-07,4231.02001953125,4233.5,4393.5,4037.0,4074.5,5175342
2025-04-08,4213.03076171875,4215.5,4360.0,4174.5,4281.5,5058538
2025-04-09,4114.58837890625,4117.0,4199.0,4024.5,4052.5,3717877
2025-04-10,4205.53466796875,4208.0,4396.5,4208.0,4365.5,2821449
2025-04-11,4300.97900390625,4303.5,4317.5,4214.5,4279.5,2569183
2025-04-14,4340.4560546875,4343.0,4390.0,4326.5,4358.0,1773529
2025-04-15,4349.95068359375,4352.5,4372.0908203125,4327.5,4351.5,2075138
2025-04-16,4350.4501953125,4353.0,4353.0,4257.5,4280.5,2268644
2025-04-17,4395.423828125,4398.0,4412.5,4356.5,4356.5,1887432
2025-04-22,4464.38330078125,4467.0,4486.5,4415.0,4444.0,4091620
2025-04-23,4582.81396484375,4585.5,4656.0,4550.0,4551.0,3303412
2025-04-24,4608.798828125,4611.5,4625.0,4528.5,4578.0,2994383
2025-04-25,4547.3349609375,4550.0,4630.0,4545.0,4599.5,4266898
2025-04-28,4522.34912109375,4525.0,4573.0,4523.5,4533.0,3137712
2025-04-29,4543.8369140625,4546.5,4615.0,4540.0,4550.0,1428631
2025-04-30,4444.3955078125,4447.0,4561.73876953125,4367.0,4524.0,4162538
2025-05-01,4427.4052734375,4430.0,4531.5,4426.5,4531.5,1063676
2025-05-02,4499.36279296875,4502.0,4556.5,4470.5,4542.0,1613491
2025-05-06,4475.876953125,4478.5,4519.0,4443.5,4511.5,4192427
2025-05-07,4536.84130859375,4539.5,4576.0,4475.45703125,4494.5,4740279
2025-05-08,4442.396484375,4445.0,4533.5,4423.5,4514.0,2494718
2025-05-09,4493.8662109375,4496.5,4510.5,4446.0,4470.5,3975252
2025-05-12,4659.26904296875,4662.0,4764.5,4644.5,4744.5,3348147
2025-05-13,4696.7470703125,4699.5,4772.5,4665.5,4665.5,1720573
2025-05-14,4681.25634765625,4684.0,4734.0,4662.0,4733.5,2315490
2025-05-15,4689.25146484375,4692.0,4706.0,4624.0,4672.0,3992565
2025-05-16,4673.26123046875,4676.0,4720.5,4648.7021484375,4690.0,2961611
2025-05-19,4643.27880859375,4646.0,4659.0,4584.0,4652.5,1946053
2025-05-20,4670.7626953125,4673.5,4691.5,4617.0,4625.0,1296347
2025-05-21,4648.775390625,4651.5,4679.0,4629.0,4650.0,2767389
2025-05-22,4584.31298828125,4587.0,4669.0,4570.0,4627.5,2718783
2025-05-23,4559.82763671875,4562.5,4606.5,4515.5,4555.0,1905414
2025-05-27,4495.86474609375,4498.5,4537.0,4483.0,4527.5,2401141
2025-05-28,4448.39306640625,4451.0,4494.5,4443.80078125,4446.5,1797588
2025-05-29,4458.38671875,4461.0,4510.5,4448.5,4494.5,5504968
2025-05-30,4399.42138671875,4402.0,4452.5,4394.5,4416.0,6581437
2025-06-02,4375.93505859375,4378.5,4406.0,4348.0,4380.0,2054735
2025-06-03,4334.95947265625,4337.5,4337.5,4269.0,4305.0,3423038
2025-06-04,4338.45703125,4341.0,4384.5,4301.0,4353.0,4038351
2025-06-05,4388.427734375,4391.0,4409.0,4338.0,4350.0,2599004
2025-06-06,4352.94873046875,4355.5,4390.0,4341.0,4357.5,4274560
2025-06-09,4359.44482421875,4362.0,4390.0,4312.0,4369.5,1780557
2025-06-10,4373.9365234375,4376.5,4390.5,4337.5,4349.0,2318806
2025-06-11,4348.451171875,4351.0,4429.0,4351.0,4425.5,3106558
2025-06-12,4299.9794921875,4302.5,4307.5,4263.5,4300.0,2127382
2025-06-13,4285.98779296875,4288.5,4288.5,4249.0,4251.0,2798061
2025-06-16,4300.4794921875,4303.0,4327.5,4287.0,4311.0,2717261
2025-06-17,4250.0087890625,4252.5,4305.5,4250.0,4274.5,4376420
2025-06-18,4238.01611328125,4240.5,4287.0,4231.5,4265.5,2120301
2025-06-19,4135.076171875,4137.5,4195.5,4134.5,4180.0,3266287
2025-06-20,4146.0703125,4148.5,4183.5,4137.0,4137.0,7522891
2025-06-23,4182.54833984375,4185.0,4187.5,4110.0,4123.0,2733253
2025-06-24,4191.04345703125,4193.5,4276.5,4193.5,4276.5,3332321
2025-06-25,4121.583984375,4124.0,4209.5,4124.0,4193.5,3098737
2025-06-26,4265.0,4267.5,4279.5,4169.0,4186.0,2213867
2025-06-27,4278.99169921875,4281.5,4356.5,4253.0,4325.5,1606420
2025-06-30,4242.513671875,4245.0,4286.0,4228.0,4277.5,1677642
2025-07-01,4261.50244140625,4264.0,4264.0,4187.0,4241.0,2652950
2025-07-02,4378.43359375,4381.0,4389.0,4287.47705078125,4310.0,3546202
2025-07-03,4293.4833984375,4296.0,4374.5,4296.0,4366.0,2866363
2025-07-04,4264.0009765625,4266.5,4287.5,4255.5,4279.0,1174406
2025-07-07,4253.50732421875,4256.0,4279.0,4248.0,4261.0,1366280
2025-07-08,4308.974609375,4311.5,4331.0,4266.5,4273.0,2373093
2025-07-09,4273.9951171875,4276.5,4334.5,4274.0,4333.0,3290957
2025-07-10,4444.89453125,4447.5,4490.0,4414.5,4428.5,5533046
2025-07-11,4454.38916015625,4457.0,4471.0,4393.0,4443.5,2099060
2025-07-14,4423.40771484375,4426.0,4517.5,4424.5,4513.5,1482524
2025-07-15,4343.45458984375,4346.0,4460.0,4332.451171875,4439.5,2559072
2025-07-16,4395.923828125,4398.5,4451.240234375,4384.56884765625,4408.5,2740561
2025-07-17,4426.9052734375,4429.5,4463.5,4400.5,4413.5,1415507
2025-07-18,4484.87109375,4487.5,4526.0,4448.0,4500.0,2440032
2025-07-21,4607.2998046875,4610.0,4653.0,4566.0,4630.40283203125,4564166
2025-07-22,4710.7392578125,4713.5,4725.0,4641.5,4661.0,3000050
2025-07-23,4728.728515625,4731.5,4767.5,4689.5,4696.0,2077643
2025-07-24,4716.7353515625,4719.5,4772.5,4706.5,4765.0,1944116
2025-07-25,4677.2587890625,4680.0,4714.5,4661.0498046875,4705.0,3553565
2025-07-28,4636.28271484375,4639.0,4681.0,4572.0,4668.0,1948436
2025-07-29,4645.77734375,4648.5,4673.0,4621.0,4663.0,2112944
2025-07-30,4585.3125,4588.0,4626.5,4528.0,4613.5,2064850
2025-07-31,4500.8623046875,4503.5,4503.5,4344.5,4360.0,4818208
2025-08-01,4489.36865234375,4492.0,4508.5,4457.5,4505.5,4769110
2025-08-04,4486.8701171875,4489.5,4513.0,4467.5,4510.5,3719117
2025-08-05,4485.37109375,4488.0,4517.0,4476.5,4484.5,2050688
2025-08-06,4500.3623046875,4503.0,4542.5,4482.0,4501.0,3646736
2025-08-07,4496.36474609375,4499.0,4548.5,4490.5,4496.0,6637266
2025-08-08,4570.3212890625,4573.0,4580.0,4529.5,4535.0,6853002
2025-08-11,4584.31298828125,4587.0,4614.5,4560.0,4604.0,1180561
2025-08-12,4650.2744140625,4653.0,4664.5,4627.83203125,4636.5,2987407
2025-08-13,4665.76513671875,4668.5,4694.0,4635.84716796875,4677.5,1604824
2025-08-14,4479.4169921875,4481.0,4521.0,4452.0,4481.5,3063120
2025-08-15,4512.4052734375,4514.0,4575.2412109375,4506.0,4543.5,7121261
2025-08-18,4446.92822265625,4448.5,4513.0,4436.5,4500.0,4152534
2025-08-19,4485.4150390625,4487.0,4527.5,4443.0,4452.0,1323343
2025-08-20,4489.41357421875,4491.0,4506.5,4440.5,4469.5,2031155
2025-08-21,4529.3994140625,4531.0,4532.0,4484.0,4512.0,1060613
2025-08-22,4599.37451171875,4601.0,4609.0,4511.44091796875,4531.0,1774603
2025-08-26,4575.3828125,4577.0,4694.18212890625,4565.5,4663.0,4899269
2025-08-27,4568.3857421875,4570.0,4703.4501953125,4560.0,4595.0,1264317
2025-08-28,4635.36181640625,4637.0,4642.0,4602.5,4608.5,1152382
2025-08-29,4640.35986328125,4642.0,4676.0,4628.5,4654.5,970493
2025-09-01,4600.8740234375,4602.5,4607.5,4573.0,4573.0,1094689
2025-09-02,4579.88134765625,4581.5,4619.5,4574.23876953125,4604.5,1560470
2025-09-03,4611.8701171875,4613.5,4644.0,4573.0,4582.0,2810717
2025-09-04,4602.37353515625,4604.0,4700.0,4603.5,4631.0,1249163
2025-09-05,4679.34619140625,4681.0,4731.5,4653.5,4660.0,1691108
2025-09-08,4694.8408203125,4696.5,4723.0,4664.5,4723.0,1148890
2025-09-09,4604.87255859375,4606.5,4709.0,4603.0,4692.0,2473000
2025-09-10,4582.88037109375,4584.5,4640.5,4528.0,4533.0,2620430
2025-09-11,4589.8779296875,4591.5,4709.1689453125,4554.5,4594.5,1515281
2025-09-12,4600.3740234375,4602.0,4679.0,4591.5,4651.0,1429290
2025-09-15,4629.86376953125,4631.5,4644.5,4579.0,4622.5,7891345
2025-09-16,4647.857421875,4649.5,4749.0,4622.5,4717.0,5217111
2025-09-17,4608.37158203125,4610.0,4638.5,4586.0,4616.5,2770577
2025-09-18,4570.384765625,4572.0,4633.0,4562.0,4593.0,3268513
2025-09-19,4597.37548828125,4599.0,4607.0,4555.5,4581.0,4749538
2025-09-22,4691.841796875,4693.5,4802.74609375,4579.16015625,4644.5,1736197
2025-09-23,4689.3427734375,4691.0,4721.5,4658.0,4684.5,1854747
2025-09-24,4746.32275390625,4748.0,4765.5,4668.5,4680.5,4480799
2025-09-25,4914.26318359375,4916.0,4940.5,4829.82080078125,4880.5,3676388
2025-09-26,4829.79296875,4831.5,4887.22607421875,4808.0,4870.0,8225344
2025-09-29,4913.263671875,4915.0,4932.0,4844.0,4877.5,1812845
2025-09-30,4885.7734375,4887.5,4951.0,4834.0,4876.5,3123428
2025-10-01,4889.77197265625,4891.5,4955.0,4870.0,4875.5,3492557
