Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,2527.427978515625,2528.5,2604.0,2528.5,2604.0,13318210
2025-03-06,2531.92578125,2533.0,2555.5,2509.4541015625,2552.0,12483390
2025-03-07,2553.416748046875,2554.5,2574.0,2532.5,2543.0,8829502
2025-03-10,2571.908935546875,2573.0,2586.0,2554.5,2565.5,9915817
2025-03-11,2551.917724609375,2553.0,2595.5,2550.5,2579.5,13011253
2025-03-12,2567.410888671875,2568.5,2568.639892578125,2529.5,2563.0,12445552
2025-03-13,2601.896240234375,2603.0,2615.5,2559.5,2568.0,12126429
2025-03-14,2632.38330078125,2633.5,2633.5,2594.5,2608.5,8552403
2025-03-17,2674.865234375,2676.0,2676.5,2630.0,2633.5,14969064
2025-03-18,2694.856689453125,2696.0,2709.0,2684.0,2686.5,8090245
2025-03-19,2739.837646484375,2741.0,2746.5,2701.5,2702.0,8383133
2025-03-20,2748.333984375,2749.5,2769.5,2737.0,2742.5,7437068
2025-03-21,2725.843994140625,2727.0,2761.5,2723.5,2755.5,24000899
2025-03-24,2723.844482421875,2725.0,2745.5,2715.5,2738.0,5608416
2025-03-25,2763.82763671875,2765.0,2805.0,2752.5,2760.0,23218375
2025-03-26,2829.79931640625,2831.0,2843.0,2780.5,2782.0,17198416
2025-03-27,2821.303466796875,2822.5,2825.37890625,2796.0,2813.0,10656183
2025-03-28,2795.31396484375,2796.5,2823.5,2788.699951171875,2797.0,7951731
2025-03-31,2823.802490234375,2825.0,2825.5,2767.5,2781.0,10694481
2025-04-01,2805.31005859375,2806.5,2842.0,2789.5,2825.5,8633598
2025-04-02,2778.8212890625,2780.0,2812.5,2760.5,2802.5,7455141
2025-04-03,2666.368896484375,2667.5,2736.0,2653.0,2707.0,15066303
2025-04-04,2480.447998046875,2481.5,2642.5,2479.0,2640.0,21615208
2025-04-07,2369.494873046875,2370.5,2473.5,2271.0,2294.5,20823771
2025-04-08,2392.98486328125,2394.0,2458.0,2388.0,2441.0,16045622
2025-04-09,2290.528076171875,2291.5,2346.5,2269.923095703125,2303.0,27494558
2025-04-10,2325.013671875,2326.0,2498.5,2326.0,2478.0,13119231
2025-04-11,2307.021240234375,2308.0,2336.0,2289.68603515625,2310.5,17776542
2025-04-14,2353.501708984375,2354.5,2387.154052734375,2347.705078125,2355.5,9862707
2025-04-15,2370.494384765625,2371.5,2384.5,2352.0,2360.0,13610650
2025-04-16,2433.4677734375,2434.5,2440.0,2349.0,2349.0,8155747
2025-04-17,2437.9658203125,2439.0,2450.83203125,2405.5,2426.0,6800648
2025-04-22,2430.96875,2432.0,2443.5,2421.0,2429.0,17669325
2025-04-23,2430.46875,2431.5,2510.0,2422.5,2464.5,21687809
2025-04-24,2432.968017578125,2434.0,2455.5,2415.5,2431.5,8111450
2025-04-25,2462.955078125,2464.0,2467.5,2428.5,2443.0,4302954
2025-04-28,2456.95751953125,2458.0,2478.5,2450.5,2469.0,14392508
2025-04-29,2441.9638671875,2443.0,2462.0,2415.781005859375,2447.5,4198086
2025-04-30,2439.46533203125,2440.5,2445.0,2406.0,2424.5,12603627
2025-05-01,2435.467041015625,2436.5,2446.0,2373.0,2405.0,4203522
2025-05-02,2485.44580078125,2486.5,2543.5,2461.5,2493.0,12476281
2025-05-06,2432.968017578125,2434.0,2469.0,2426.5,2462.0,13071819
2025-05-07,2427.969970703125,2429.0,2454.0,2421.0,2427.5,19314995
