Date,Adj Close,Close,High,Low,Open,Volume
2025-03-05,27058.39453125,27066.0,27470.0,26633.0,27000.0,5367035
2025-03-06,27797.185546875,27805.0,27926.0,27123.0,27100.0,4578580
2025-03-07,27492.271484375,27500.0,27979.0,27212.0,27999.0,2474292
2025-03-10,27543.2578125,27551.0,27667.0,27300.0,27500.0,1960692
2025-03-11,27526.263671875,27534.0,27800.0,27320.0,27400.0,2376372
2025-03-12,27628.234375,27636.0,27803.0,27423.0,27799.0,1822912
2025-03-13,27308.322265625,27316.0,27809.0,27304.0,27999.0,2114320
2025-03-14,27635.232421875,27643.0,27755.0,27302.0,27581.0,2237909
2025-03-17,27257.337890625,27265.0,27885.0,27250.0,27550.0,1660290
2025-03-18,26460.5625,26468.0,27395.0,26468.0,27401.0,2546994
2025-03-19,26671.50390625,26679.0,26859.0,26368.0,26500.0,2304604
2025-03-20,26830.45703125,26838.0,26935.0,26550.0,26703.0,4422936
2025-03-24,26983.416015625,26991.0,27335.0,26687.0,26544.0,1123857
2025-03-25,27022.404296875,27030.0,27165.0,26783.0,26880.0,1041590
2025-03-26,26970.263671875,26975.0,27224.0,26600.0,26790.0,1708138
2025-03-27,27095.2421875,27100.0,27235.0,26769.0,26912.0,1700882
2025-03-28,26997.2578125,27002.0,27465.0,26820.0,26950.0,1339999
2025-03-31,27266.2109375,27271.0,27400.0,27011.0,27399.0,2456496
2025-04-01,27794.119140625,27799.0,27864.0,27155.0,27395.0,1009752
2025-04-02,26595.330078125,26600.0,27800.0,26522.0,27637.0,1959032
2025-04-03,25292.55859375,25297.0,26528.0,25085.0,26501.0,3862531
2025-04-04,25017.60546875,25022.0,25405.0,24736.0,25500.0,2512997
2025-04-07,25436.533203125,25441.0,25965.0,23421.0,23962.0,3083304
2025-04-08,26811.291015625,26816.0,27030.0,25149.0,26240.0,3986373
2025-04-09,25755.4765625,25760.0,26498.5,25560.0,26500.0,2883860
2025-04-10,26961.265625,26966.0,27125.0,26394.0,26800.0,1634013
2025-04-11,26798.29296875,26803.0,27300.0,26725.0,26993.0,1495253
2025-04-14,28248.0390625,28253.0,28314.0,26958.0,27100.0,1288868
